Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,delay_band,satisfaction,satisfied_binary
Male,Loyal Customer,13,Personal Travel,Eco Plus,460,3.0,4.0,3.0,1.0,5.0,3.0,5.0,5.0,4.0,3.0,4,4.0,5.0,5.0,25,18.0,16-60 min,neutral or dissatisfied,0
Male,Disloyal Customer,25,Business travel,Business,235,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,3,1.0,4.0,1.0,1,6.0,1-15 min,neutral or dissatisfied,0
Female,Loyal Customer,26,Business travel,Business,1142,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,4,4.0,4.0,5.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,25,Business travel,Business,562,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,3,1.0,4.0,2.0,11,9.0,1-15 min,neutral or dissatisfied,0
Male,Loyal Customer,61,Business travel,Business,214,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,4,3.0,3.0,3.0,0,0.0,No delay,satisfied,1
Female,Loyal Customer,26,Personal Travel,Eco,1180,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,4,4.0,4.0,1.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Loyal Customer,47,Personal Travel,Eco,1276,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4,3.0,5.0,2.0,9,23.0,16-60 min,neutral or dissatisfied,0
Female,Loyal Customer,52,Business travel,Business,2035,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5,4.0,5.0,4.0,4,0.0,No delay,satisfied,1
Female,Loyal Customer,41,Business travel,Business,853,1.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,1,4.0,1.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
Male,Disloyal Customer,20,Business travel,Eco,1061,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4,4.0,3.0,2.0,0,0.0,No delay,neutral or dissatisfied,0
