Touchpoint,Marginal Effect (pp),Std Err,z,P>|z|,CI Lower,CI Upper
Online boarding,6.75,0.0008228097504307044,82.02838641856609,0.0,0.06588107868032118,0.06910643363426631
Inflight wifi service,5.76,0.0009012930083578243,63.909233686221995,0.0,0.05583444365499913,0.05936744732679732
Ease of Online booking,2.85,0.0010159994532858976,28.07028650516656,2.259087042761789e-173,0.026528073406074992,0.03051071807958048
Checkin service,2.72,0.000674524632092222,40.3840508563235,0.0,0.025917993060669303,0.028562081031841074
On-board service,2.69,0.0008288643236562035,32.42578186102031,1.1891190160864687e-230,0.02525202952882188,0.028501117973694503
Leg room service,2.37,0.0007080687307800106,33.468222292931806,1.3981046945876494e-245,0.02231001246951167,0.025085590891327288
Cleanliness,2.0,0.0009322511731489185,21.451355298408544,4.435395388928414e-102,0.01817087241865854,0.02182522986649273
Baggage handling,1.23,0.0009426110037580716,13.034094447437932,7.829100528318242e-39,0.010438597231380006,0.014133564468973948
Inflight service,1.23,0.0009910807820916773,12.432158511758207,1.748484035918048e-35,0.010378790742251549,0.014263756019590504
Inflight entertainment,0.6,0.001162893710580244,5.12869243457018,2.9176156087483893e-07,0.0036848943850767185,0.008243353966247566
Seat comfort,0.18,0.0009151818480637231,1.9577557627391915,0.05025867852567811,-2.0209245086479522e-06,0.0035854259985107625
Food and drink,-0.35,0.0008458758017635587,-4.124274128154173,3.7190574993369956e-05,-0.0051465097916956306,-0.0018307375779945956
Gate location,-1.91,0.0008769878827505227,-21.729604897682222,1.0772499429753051e-104,-0.02077546485729278,-0.01733773552715466
Departure/Arrival time convenient,-2.53,0.0008884431961949829,-28.531128276847753,4.816653989285472e-179,-0.027089603464183494,-0.023606970130479854
